Nr,Date,Group,Atelier_ID,Atelier,Tree_Specie,Long,Lat,Usage,Object,X,Y,Weight_gr,Hight_cm,Lenth_cm,Width_cm,Volume,Material,,,,,,,,,,,,,,,,,,,,,,,
342,11.03.2015,East,DEfr1,1,Dentarium,0690089,0645673,fresh,stone,0,0,7100,16.5,28,11,5082,granite,,,,,,,,,,,,,,,,,,,,,,,
39,26.02.2015,North,PNfr1,1,Panda,0682559,0648991,fresh,stone,15,2,6400,13.5,17,11,2524.5,granite,,,,,,,,,,,,,,,,,,,,,,,
40,26.02.2015,North,PNfr1,1,Panda,0682559,0648991,fresh,stone,0,28,463.5,6.7,9.7,5.3,344.447,granite,,,,,,,,,,,,,,,,,,,,,,,
41,26.02.2015,North,PNfr1,1,Panda,0682559,0648991,fresh,stone,-36,0,103,4.1,6,2.9,71.34,granite,,,,,,,,,,,,,,,,,,,,,,,
42,26.02.2015,North,PNfr1,1,Panda,0682559,0648991,fresh,stone,30,-26,412.4,8,8.5,6.2,421.6,granite,,,,,,,,,,,,,,,,,,,,,,,
43,26.02.2015,North,PNfr1,1,Panda,0682559,0648991,fresh,stone,52,-10,161,5.2,7.2,2.9,108.576,granite,,,,,,,,,,,,,,,,,,,,,,,
45,26.02.2015,North,PNfr1,1,Panda,0682559,0648991,fresh,stone,110,80,350,5.2,9,4.2,196.56,laterite,,,,,,,,,,,,,,,,,,,,,,,
46,26.02.2015,North,PNfr1,1,Panda,0682559,0648991,fresh,stone,1220,-35,168,3.2,6.8,4.3,93.568,granite,,,,,,,,,,,,,,,,,,,,,,,
49,26.02.2015,North,PNfr2,2,Panda,0682884,0648624,fresh,stone,15,0,5000,7,19.5,9.2,1255.8,granite,,,,,,,,,,,,,,,,,,,,,,,
50,26.02.2015,North,PNfr2,2,Panda,0682884,0648624,fresh,stone,54,166,65.2,5.1,5.7,4.6,133.722,granite,,,,,,,,,,,,,,,,,,,,,,,
53,26.02.2015,North,PNfr22,22,Panda,0682874,0648601,fresh,stone,0,-25,4450,10.8,18.5,12,2397.6,granite,,,,,,,,,,,,,,,,,,,,,,,
55,26.02.2015,North,PNfr3,3,Panda,0682439,0648632,fresh,stone,12,-20,3620,11,17,11.3,2113.1,laterite,,,,,,,,,,,,,,,,,,,,,,,
127,01.03.2015,North,PNfr4,4,Panda,0680183,0648138,fresh,stone,0,0,6200,18,28,10,5040,granite,,,,,,,,,,,,,,,,,,,,,,,
132,02.03.2015,North,PNfr5,5,Panda,0681604,0650672,fresh,stone,0,10,2600,11.5,17,8,1564,granite,,,,,,,,,,,,,,,,,,,,,,,
214,05.03.2015,North,PNfr6,6,Panda,0682768,0649894,fresh,stone,27,0,7200,19,25,13,6175,granite,,,,,,,,,,,,,,,,,,,,,,,
215,05.03.2015,North,PNfr6,6,Panda,0682768,0649894,fresh,stone,205,-50,500,7.6,6.3,5.5,263.34,laterite,,,,,,,,,,,,,,,,,,,,,,,
253,07.03.2015,South,PSfr1,1,Panda,0685959,0645651,fresh,stone,0,0,15300,26,41,11,11726,granite,,,,,,,,,,,,,,,,,,,,,,,
254,07.03.2015,South,PSfr1,1,Panda,0685959,0645651,fresh,stone,0,10,606.4,9,16.5,4.5,668.25,granite,,,,,,,,,,,,,,,,,,,,,,,
255,07.03.2015,South,PSfr1,1,Panda,0685959,0645651,fresh,stone,5,10,585.8,10,11,4.5,495,granite,,,,,,,,,,,,,,,,,,,,,,,
307,09.03.2015,South,PSfr4,4,Panda,0686508,0641291,fresh,stone,320,0,12100,19,39,11,8151,granite,,,,,,,,,,,,,,,,,,,,,,,
309,09.03.2015,South,PSfr3,3,Panda,0686653,0643374,fresh,stone,0,0,3700,10,17,9,1530,granite,,,,,,,,,,,,,,,,,,,,,,,
311,09.03.2015,South,PSfr2,2,Panda,0686651,0643393,fresh,stone,0,0,6200,15,27,7,2835,granite,,,,,,,,,,,,,,,,,,,,,,,
313,09.03.2015,South,PSfr5,5,Panda,0686284,0641057,fresh,stone,0,0,8100,15,26,12.5,4875,granite,,,,,,,,,,,,,,,,,,,,,,,
314,09.03.2015,South,PSfr5,5,Panda,0686284,0641057,fresh,stone,15,-38,118.2,3,9,3,81,granite,,,,,,,,,,,,,,,,,,,,,,,
316,09.03.2015,South,PSfr6,6,Panda,0686413,0641117,fresh,stone,0,0,716,9,11,5.5,544.5,granite,,,,,,,,,,,,,,,,,,,,,,,
317,09.03.2015,South,PSfr6,6,Panda,0686413,0641117,fresh,stone,-26,7,271,6,10.5,3,189,granite,,,,,,,,,,,,,,,,,,,,,,,
319,09.03.2015,South,PSfr7,7,Panda,0686523,0641289,fresh,stone,219,0,11400,13,28,12.5,4550,granite,,,,,,,,,,,,,,,,,,,,,,,
321,09.03.2015,South,PSfr8,8,Panda,0686517,0641296,fresh,stone,0,0,8000,18,24,10,4320,quarz,,,,,,,,,,,,,,,,,,,,,,,
